topic_words3,Reformierakond,Sotsiaaldemokraadid,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0066006600660066,0.0378912685337726,-474.052718286655
majandusaasta koondaruanne raamatupidamise,0.0016501650165016,0.0181219110378912,-998.18780889624
maavalitsuste maavalitsused maakonna,0.0016501650165016,0.0181219110378912,-998.18780889624
riigiloivude riigiloivud riigiloivu,0.0016501650165016,0.014827018121911,-798.5172981878338
tulumaksuvaba maksususteemi tulumaksu,0.0082508250825082,0.0230642504118616,-179.5387149917643
eriarstide eriarstiabi eriarsti,0.0016501650165016,0.0115321252059308,-598.8467874794276
toonadalal istungid taiendaval,0.0033003300330033,0.0131795716639209,-299.3410214168033
teadus teaduse arendustegevuse,0.0033003300330033,0.0131795716639209,-299.3410214168033
koolis kooli opilased,0.0115511551155115,0.0247116968698517,-113.93269004471709
vaikesaarte saarte pusiasustusega,0.0016501650165016,0.0098846787479406,-499.0115321252184
iive sundimus iibe,0.0016501650165016,0.0082372322899505,-399.17627677101547
lipu laevu kaubalaeva,0.0016501650165016,0.0082372322899505,-399.17627677101547
pollumeestele pollumehi pollumehed,0.0099009900990099,0.0197693574958813,-99.67051070840115
palgalohe soolist meeste,0.0066006600660066,0.014827018121911,-124.62932454695166
eelarves riigieelarves reservist,0.0066006600660066,0.014827018121911,-124.62932454695166
ts parvlaeva parvlaevad,0.0033003300330033,0.0098846787479406,-199.50576606260017
eelarvele kulude riigieelarvele,0.0033003300330033,0.0098846787479406,-199.50576606260017
kandidaadi kandidaati kandidaat,0.0016501650165016,0.0065897858319604,-299.34102141681234
vabatahtlike komandode paasteameti,0.0016501650165016,0.0065897858319604,-299.34102141681234
samba sammas sambasse,0.0099009900990099,0.0181219110378912,-83.03130148270117
tulubaasi omavalitsustele omavalitsuste,0.0115511551155115,0.0197693574958813,-71.14615203577314
kodualuse maamaksu maamaksust,0.0033003300330033,0.0082372322899505,-149.58813838550014
noukogudesse ariuhingute noukogudes,0.0099009900990099,0.0164744645799011,-66.39209225700114
pensionitous pensionitousu pension,0.0016501650165016,0.0049423393739703,-199.50576606260927
tooandja tooandjal tootaja,0.0016501650165016,0.0049423393739703,-199.50576606260927
oigusloome oigusloomes oiguspoliitika,0.0016501650165016,0.0049423393739703,-199.50576606260927
riigireformi riigireformist riigireform,0.0016501650165016,0.0049423393739703,-199.50576606260927
riigiabi komisjonilt loa,0.0016501650165016,0.0049423393739703,-199.50576606260927
vallaga vald sauga,0.0066006600660066,0.0115321252059308,-74.71169686985164
kodakondsust kodakondsuse kodanikuks,0.0033003300330033,0.0065897858319604,-99.67051070840014
liiklussurmade liikluses hukkunute,0.0033003300330033,0.0065897858319604,-99.67051070840014
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0049504950495049,0.0082372322899505,-66.39209225700179
annetus erjk annetuse,0.0016501650165016,0.0032948929159802,-99.67051070840617
muuseum muuseumi muuseumide,0.0016501650165016,0.0032948929159802,-99.67051070840617
fie fuusilisest isikust,0.0016501650165016,0.0032948929159802,-99.67051070840617
teenuseid teenused teenust,0.0016501650165016,0.0032948929159802,-99.67051070840617
valismaale valjarande valjaranne,0.0016501650165016,0.0032948929159802,-99.67051070840617
untso missioonide liikmesusest,0.0016501650165016,0.0032948929159802,-99.67051070840617
volakirjade keskpank volakirju,0.0016501650165016,0.0032948929159802,-99.67051070840617
omandireformi tagastatud omandireform,0.0016501650165016,0.0032948929159802,-99.67051070840617
arengukavad arengukavade pohialuste,0.0132013201320132,0.0164744645799011,-24.79406919275085
kala kalurid kalurite,0.0033003300330033,0.0049423393739703,-49.7528830313001
missiooni missioonile missioon,0.0033003300330033,0.0049423393739703,-49.7528830313001
virumaale virumaa toostusalade,0.0049504950495049,0.0065897858319604,-33.11367380560143
ajakirjandus ajakirjanduse ajakirjandust,0.0066006600660066,0.0082372322899505,-24.79406919275009
opositsioonis koalitsiooni opositsiooni,0.0066006600660066,0.0082372322899505,-24.79406919275009
salvestisi salvestised salvestiste,0.0082508250825082,0.0098846787479406,-19.802306425040804
pohiseadusega riigikohus oiguskantsler,0.0115511551155115,0.0131795716639209,-14.097434690515726
loomi loomade loomad,0.0016501650165016,0.0016474464579901,0.16474464579691392
ametipalkade riigiteenijate korgemate,0.0016501650165016,0.0016474464579901,0.16474464579691392
abielu kooselu samasooliste,0.0016501650165016,0.0016474464579901,0.16474464579691392
salastatud valisteabe riigisaladuse,0.0016501650165016,0.0016474464579901,0.16474464579691392
raamatukogu pimedate raamatukogude,0.0016501650165016,0.0016474464579901,0.16474464579691392
kantsler kantsleri riigisekretar,0.0016501650165016,0.0016474464579901,0.16474464579691392
tooandja tervisesse maksuvabalt,0.0016501650165016,0.0016474464579901,0.16474464579691392
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0016501650165016,0.0016474464579901,0.16474464579691392
haiguspaevade haiguspaevi haiguspaeva,0.0016501650165016,0.0016474464579901,0.16474464579691392
miili baasvorgu lairiba,0.0016501650165016,0.0016474464579901,0.16474464579691392
liitlaste ohutorje keskmaa,0.0016501650165016,0.0016474464579901,0.16474464579691392
pensioniiga pensioniea eluiga,0.0016501650165016,0.0016474464579901,0.16474464579691392
lasteaia lasteaias lasteaiakoha,0.0016501650165016,0.0016474464579901,0.16474464579691392
oigusriik oigusriigi oigusriigist,0.0016501650165016,0.0016474464579901,0.16474464579691392
president ilves presidendi,0.0016501650165016,0.0016474464579901,0.16474464579691392
efsf esm kreekale,0.0016501650165016,0.0016474464579901,0.16474464579691392
ootuse oigusparase oiguskindluse,0.0016501650165016,0.0016474464579901,0.16474464579691392
mes maale maaelu,0.0016501650165016,0.0016474464579901,0.16474464579691392
piirikontrolli schengeni valispiiri,0.0016501650165016,0.0016474464579901,0.16474464579691392
borsile ipo enefit,0.0033003300330033,0.0032948929159802,0.16474464579993126
teekasutustasu autode autod,0.0033003300330033,0.0032948929159802,0.16474464579993126
hanke hankija riigihangete,0.0033003300330033,0.0032948929159802,0.16474464579993126
hoone rkas hoonet,0.0033003300330033,0.0032948929159802,0.16474464579993126
ametiuhingute tooandjate keskliit,0.0033003300330033,0.0032948929159802,0.16474464579993126
alkoholi kange lahja,0.0033003300330033,0.0032948929159802,0.16474464579993126
valispoliitika valispoliitikas diplomaatia,0.0049504950495049,0.0049423393739703,0.16474464579893422
aasia aasias saatkonna,0.0049504950495049,0.0049423393739703,0.16474464579893422
valijate erakonda valijaid,0.0066006600660066,0.0065897858319604,0.16474464579993126
opositsiooni koalitsioonil opositsioonil,0.0082508250825082,0.0082372322899505,0.16474464579932255
arengufond arengufondi arengufondis,0.0132013201320132,0.0115321252059308,12.644151565074186
katteallikas katteallikaid katteallikat,0.0115511551155115,0.0098846787479406,14.426923982113863
normitehnika mojude eeskiri,0.0082508250825082,0.0065897858319604,20.131795716639463
uuring uuringut uuringu,0.0066006600660066,0.0049423393739703,25.12355848434995
uliopilased uliopilastele uliopilaste,0.0066006600660066,0.0049423393739703,25.12355848434995
kaibemaksu kaibemaks kaibemaksumaara,0.0066006600660066,0.0049423393739703,25.12355848434995
krimmi agressiooni ukraina,0.0066006600660066,0.0049423393739703,25.12355848434995
vagivallale vihakone ohutamine,0.0049504950495049,0.0032948929159802,33.44316309719929
poolte kokkuleppel huvitise,0.0049504950495049,0.0032948929159802,33.44316309719929
joustumine joustuma joustada,0.0132013201320132,0.0098846787479406,25.12355848434995
kusimusena tahtsa tahtsusega,0.0033003300330033,0.0016474464579901,50.08237232289997
riigikontrolor karis riigikontrolori,0.0033003300330033,0.0016474464579901,50.08237232289997
tapsustatakse ajakohastatakse nouete,0.0033003300330033,0.0016474464579901,50.08237232289997
utah jordaania energia,0.0033003300330033,0.0016474464579901,50.08237232289997
ulejaagis struktuurses struktuurse,0.0115511551155115,0.0082372322899505,28.689103318428216
elektri elektrit taastuvenergia,0.0198019801980198,0.014827018121911,25.123558484349438
soita jalakaija konniteel,0.0066006600660066,0.0032948929159802,50.08237232289997
jaatmeid liigiti prugi,0.0066006600660066,0.0032948929159802,50.08237232289997
valimisliitude volikogusse volikokku,0.0231023102310231,0.0164744645799011,28.68910331842809
jahimehed jahimeeste jahti,0.0462046204620462,0.0362438220757825,21.558013650270727
annetused annetusi annetuste,0.0049504950495049,0.0016474464579901,66.72158154859964
laari laar kandidatuuri,0.0049504950495049,0.0016474464579901,66.72158154859964
riigikontrolli auditi auditit,0.0049504950495049,0.0016474464579901,66.72158154859964
metsa metsade mets,0.0049504950495049,0.0016474464579901,66.72158154859964
huvigruppe huvigruppide kaasatud,0.0247524752475247,0.0164744645799011,33.44316309719942
kutsehariduse kutseharidus kutsehariduses,0.0148514851485148,0.0082372322899505,44.53596924766644
teenistuse teenistuses avalikus,0.0082508250825082,0.0032948929159802,60.06589785831973
slovakkia ungari portugal,0.0082508250825082,0.0032948929159802,60.06589785831973
haale valimispaeval valimiste,0.0066006600660066,0.0016474464579901,75.04118616144999
aituma infotundi jahimehed,0.0066006600660066,0.0016474464579901,75.04118616144999
leping ratifitseerida lepinguga,0.0066006600660066,0.0016474464579901,75.04118616144999
kulukuse krediidi kiirlaenude,0.0297029702970297,0.0181219110378912,38.98956617243295
korteriuhistu korteriomanike korteriuhistute,0.0099009900990099,0.0032948929159802,66.72158154859997
kinnisasja maad maa,0.0264026402640264,0.014827018121911,43.842668863262084
pensionifondide pensionifondid fondid,0.0082508250825082,0.0016474464579901,80.03294892915986
teede teehoiuks teedele,0.0247524752475247,0.0131795716639209,46.75453047775945
otsevalimise presidenti presidendi,0.0181518151815181,0.0082372322899505,54.62033847536348
taanis saksamaal hollandis,0.0231023102310231,0.0115321252059308,50.08237232289954
karistuse karistus tingimisi,0.0165016501650165,0.0065897858319604,60.06589785831997
lahususe voimude lahusus,0.0115511551155115,0.0032948929159802,71.47564132737129
prokuratuur prokuratuuri prokuror,0.0099009900990099,0.0016474464579901,83.3607907743
kaasne lisakulutusi riigieelarvele,0.0099009900990099,0.0016474464579901,83.3607907743
inimarengu aruanne aruandes,0.0132013201320132,0.0032948929159802,75.04118616144999
moisteid moiste moisted,0.0132013201320132,0.0032948929159802,75.04118616144999
vee monopolide veeteenuse,0.0165016501650165,0.0016474464579901,90.01647446458
maksuamet tolliamet tolliameti,0.0445544554455445,0.0065897858319604,85.20959179937776
direktiivi direktiiv ulevotmise,0.0132013201320132,0.0,100.0
terviseandmed isikuandmeid terviseandmeid,0.0132013201320132,0.0,100.0
estonian air airi,0.0115511551155115,0.0,100.0
kohtla jarve johvi,0.0099009900990099,0.0,100.0
kasvavad tuleval kasv,0.0082508250825082,0.0,100.0
reklaami reklaam alkoholireklaam,0.0082508250825082,0.0,100.0
korterid kortereid korterit,0.0049504950495049,0.0,100.0
keskkonnaameti uhendamine uhendamise,0.0049504950495049,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0049504950495049,0.0,100.0
oppelaenu sugava puudega,0.0033003300330033,0.0,100.0
pealinnast tallinnast viljandisse,0.0033003300330033,0.0,100.0
volitust kaasuses jarvik,0.0033003300330033,0.0,100.0
keeleoskust oskuse keeleoskuse,0.0033003300330033,0.0,100.0
kauguhendus avaksite ettekandjalt,0.0033003300330033,0.0,100.0
objekti anu raua,0.0033003300330033,0.0,100.0
hoiu pangad pankade,0.0033003300330033,0.0,100.0
psuhhiaatri alaealine psuhhiaatrilist,0.0016501650165016,0.0,100.0
piima toorpiima toodangut,0.0016501650165016,0.0,100.0
vagivalla naistevastase perevagivalla,0.0016501650165016,0.0,100.0
pagulasi pagulased pagulaste,0.0016501650165016,0.0,100.0
etv saateid pbk,0.0016501650165016,0.0,100.0
memorandumi moistmise memorandum,0.0016501650165016,0.0,100.0
magustatud suhkrut joogi,0.0016501650165016,0.0,100.0
maantee neljarealiseks ppp,0.0016501650165016,0.0,100.0
lipud lippude lipp,0.0016501650165016,0.0,100.0
kusija vastaja vastasin,0.0016501650165016,0.0,100.0
kohtunike kohtususteem kohtuniku,0.0016501650165016,0.0,100.0
erimargistatud kutust kutuse,0.0016501650165016,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0016501650165016,0.0,100.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0016501650165016,0.0,100.0
apteeke apteegid apteekide,0.0016501650165016,0.0,100.0
sularaha kommertspangad pangad,0.0016501650165016,0.0,100.0
muugimaksu muugimaks paadimaksu,0.0016501650165016,0.0,100.0
valimisea valimisiga valimisoiguse,0.0016501650165016,0.0,100.0
tootuli lepitaja ametiuhingute,0.0016501650165016,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0,0.0,
treenerite spordi sport,0.0,0.0,
valdkonnad laekumisest fikseeritakse,0.0,0.0,
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
varude varud varu,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
riigipalgaliste riigisektoris koondada,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
hansson ardo panga,0.0,0.0,
huvihariduse huvitegevuse huviharidus,0.0,0.0,
ene ergma aplaus,0.0,0.0,
elatisraha elatisabi elatise,0.0,0.0,
inflatsiooni inflatsioon hinnatous,0.0,0.0,
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
koneleja konsensuslikud repliigi,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
lng terminali gaasi,0.0,0.0,
louis freeh kremli,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
piirivalve valvamise valvamine,0.0,0.0,
rahvuse rahvust rahvusriik,0.0,0.0,
relva relvade relvaluba,0.0,0.0,
riigimetsa majandamise noukokku,0.0,0.0,
rongi rongide rongid,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
aardla pria pealtnagija,0.0,0.0016474464579901,-inf
kaitseliit kaitseliidule kaitseliidu,0.0,0.0049423393739703,-inf
jarviku jarvik maaeluministri,0.0,0.0065897858319604,-inf
elamisluba elamisloa viisa,0.0,0.0016474464579901,-inf
kandidaati kandidaat valituks,0.0,0.0049423393739703,-inf
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0016474464579901,-inf
konkurss konkursi konkurssi,0.0,0.0082372322899505,-inf
id mobiil kaardi,0.0,0.0032948929159802,-inf
koolilouna koolitoidu koolitoit,0.0,0.0016474464579901,-inf
korterelamute kortermajade kredexi,0.0,0.0065897858319604,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0016474464579901,-inf
vaesuses suhtelises vaesuse,0.0,0.0032948929159802,-inf
hiv narkomaania epideemia,0.0,0.0016474464579901,-inf
hambaravi hammaste hambad,0.0,0.0032948929159802,-inf
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0016474464579901,-inf
valitsemisalade katteallikaks riigieelarves,0.0,0.0016474464579901,-inf
matusetoetust matusetoetus matusetoetuse,0.0,0.0016474464579901,-inf
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0115321252059308,-inf
uhistranspordi uhistransport uhistransporti,0.0,0.0049423393739703,-inf
nord stream streami,0.0,0.0016474464579901,-inf
palgatousu opetajate palgatous,0.0,0.0082372322899505,-inf
rail trassi balticu,0.0,0.0049423393739703,-inf
post posti omniva,0.0,0.0016474464579901,-inf
veb fondi uurimiskomisjon,0.0,0.0016474464579901,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0082372322899505,-inf
pensioni pension sammas,0.0,0.0016474464579901,-inf
piirilepingu piirileping piirilepingut,0.0,0.0016474464579901,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0065897858319604,-inf
ugri rahvaste polisrahvaste,0.0,0.0016474464579901,-inf
teatri teater rahvusooper,0.0,0.0016474464579901,-inf
seksuaalse vangistusega vaarkohtlemise,0.0,0.0016474464579901,-inf
sigade katku katk,0.0,0.0032948929159802,-inf
tootuid tootute tootu,0.0,0.0049423393739703,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0016474464579901,-inf
tantsupeo laulu traditsiooni,0.0,0.0016474464579901,-inf
tarbijakaitse amet ametile,0.0,0.0016474464579901,-inf
viirust vaktsineeritud viiruse,0.0,0.0,
